ProductName,Rating,Price,OriginalPrice,Discount,Reviews,Features,PageNumber,Ratings1,Reviews1,Number_Ratings,Number_Reviews,Brand,Ton,Star,AC_Type,Power_Usage,Room_Size
"Samsung Bespoke AI 2026 Model 1.5 ton 4 Star Split Inverter with Wi-fi Energy Saving, Voice Control, P...",4.1,38990,82990,53,"6,233 Ratings & 578 Reviews",Annual Power Usage: 713.57 kWhRoom Size: 111 - 150 sqft5 year comprehensive warranty on product and 10 years warranty on compressor,9,"6,233 Ratings ", 578 Reviews,6233,578,Samsung,1.5,4.0,Split,713.57,111 - 150 sqft
Panasonic 2023 Model 1 Ton 5 Star Split Inverter with Wi-fi Convertible 7-in-1 with Additional AI Mode...,4.2,32490,64400,49,"4,169 Ratings & 452 Reviews","Annual Power Usage: 531.41 UnitsRoom Size: 90 sqft or Below1 Year Comprehensive Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",9,"4,169 Ratings ", 452 Reviews,4169,452,Panasonic,1.0,5.0,Split,531.41,90 sqft
Daikin 2025 Model 1 Ton 5 Star Split Inverter AC,4.2,34548,55364,37,"2,122 Ratings & 203 Reviews",Annual Power Usage: 523.54 UnitsRoom Size: 90 sqft or Below1 Year Warranty on Product and  5 Years Warranty on PCB and 10 Years Warranty on Compressor,9,"2,122 Ratings ", 203 Reviews,2122,203,Daikin,1.0,5.0,Split,523.54,90 sqft
CARRIER 2026 Model 1.5 Ton 3 Star Split AI Inverter with Wi-fi Convertible 6-in-1 with Geo-Fencing & V...,4.2,33490,65900,49,"38,222 Ratings & 4,626 Reviews","Annual Power Usage: 854.39 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years on PCB and 10 Years on the Compressor",9,"38,222 Ratings "," 4,626 Reviews",38222,4626,CARRIER,1.5,3.0,Split,854.39,111 - 150 sqft
LG 2025 Model 1.5 Ton 5 Star Split AI Dual Inverter AI Convertible 6-in-1 Split with Faster Cooling an...,4.2,42990,78990,45,"46,175 Ratings & 4,255 Reviews","Annual Power Usage: 744.75 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product,5 year on Pcb and 10 Years Warranty on Compressor",9,"46,175 Ratings "," 4,255 Reviews",46175,4255,LG,1.5,5.0,Split,744.75,111 - 150 sqft
Blue Star 2026 Model 1 Ton 3 Star Split Inverter AC,4.0,32490,49000,33,"4,839 Ratings & 434 Reviews",Annual Power Usage: 621.1 kWhRoom Size: 90 sqft or Below60 months for those customers who purchase Blue Star Split ACs (Inverter or Fixed Speed SACs) of Tonnage up to 2 Tr from 16th February 2026 to 30th June 2026.,9,"4,839 Ratings ", 434 Reviews,4839,434,Blue,1.0,3.0,Split,621.1,90 sqft
Godrej 2024 Model 1.5 Ton 3 Star Split Inverter Heavy Duty Cooling at Extreme Temperature AC,4.0,29599,45900,35,"22,727 Ratings & 1,770 Reviews","Annual Power Usage: 966.34 UnitsRoom Size: 111 - 150 sqft5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 7 days of purchase) and 10 Years Warranty on Compressor",9,"22,727 Ratings "," 1,770 Reviews",22727,1770,Godrej,1.5,3.0,Split,966.34,111 - 150 sqft
Daikin 2024 Model 1.5 Ton 3 Star Hot and Cold Split Inverter AC,4.2,29990,56500,46,"24,785 Ratings & 1,912 Reviews",Annual Power Usage: 881.05 UnitsRoom Size: 111 - 150 sqft1 Year Warranty on Product and  5 Years Warranty on PCB and 10 Years Warranty on Compressor,9,"24,785 Ratings "," 1,912 Reviews",24785,1912,Daikin,1.5,3.0,Split,881.05,111 - 150 sqft
realme TechLife 2026 Model 1.2 Ton 3 Star Split Inverter with Wi-fi (1 Ton + 0.2Ton Extra Cooling) wit...,4.4,26990,51999,48,106 Ratings & 10 Reviews,Annual Power Usage: 728.86 kWhRoom Size: 91 - 110 sqft1 Year Warranty on Product and 10 Year Warranty on Compressor,9,106 Ratings , 10 Reviews,106,10,realme,1.2,3.0,Split,728.86,91 - 110 sqft
Voltas 2026 Model 1.5 Ton 3 Star Split Inverter AC,4.2,33990,60990,44,"83,437 Ratings & 7,067 Reviews","Annual Power Usage: 900.94 kWhRoom Size: 111 - 150 sqft1 Year Warranty On Product,10 Years Warranty On Compressor",10,"83,437 Ratings "," 7,067 Reviews",83437,7067,Voltas,1.5,3.0,Split,900.94,111 - 150 sqft
